Sample Id	Label	Note	Collection Date	Collection Location	Nest Type	Presumptive diet	Caste Collected	Host Family	Host Genus	COII Identification	Treatments	Sanger COII Quality	Pyrotags 16S clean reads	Pyrotags 16S no host	% of host 18S
10GP1	10GP1		-	-	-	-	-	-	-	-	-	-	-	1923	-
2A.1	2A.1		7/23/2008	Arizona	Dead root crown	-	-	Termitidae	Amitermes ? (large)	Amitermes sp (91%)	-	-	7812	4138	47%
2A.2	2A.2		7/23/2008	Arizona	Soil under rock	-	-	Termitidae	Amitermes ? (large)	Amitermes sp (91%)	-	-	17127	6909	60%
2AM2	2AM2		7/23/2008	Arizona	Dung	-	-	Termitidae	Amitermes minimus	Gnathamitermes sp (97%)	-	-	9042	7407	18%
2AW1	2AW1		7/23/2008	Arizona	Wood debri	wood	-	Termitidae	Amitermes wheeleri	Amitermes sp (99%)	-	-	2897	1738	40%
2GP1	2GP1		July 23 2008	Arizona	Dung	-	-	Termitidae	Gnathamitermes perplexus	Gnathamitermes sp (98%)	-	-	5038	3493	31%
4AW1	4AW1		7/23/2008	Arizona	Dung (big - cow?)	-	-	Termitidae	Amitermes wheeleri	Amitermes sp (99%)	-	-	5375	3526	34%
4AW2	4AW2		7/23/2008	Arizona	Dung (big - cow?)	-	-	Termitidae	Amitermes wheeleri	Amitermes sp (99%)	-	-	3488	1945	44%
4AW3	4AW3		7/23/2008	Arizona	Dead Yucca	grass	-	Termitidae	Amitermes wheeleri	Amitermes sp (99%)	-	-	10966	7215	34%
4GP2	4GP2		July 23 2008	Arizona	Dung (smallish - horse?)	-	-	Termitidae	Gnathamitermes perplexus	Gnathamitermes sp (98%)	-	-	2638	1877	29%
4RT1	4RT1		July 23 2008	Arizona	Dung (smallish -horse?)	-	-	Rhinotermitidae	Reticulitermes tibialis	Reticulitermes tibialis (98%)	-	-	5075	2377	53%
4RT2	4RT2		July 23 2008	Arizona	"Wood (mesquite, palo verde)"	wood	-	Rhinotermitidae	Reticulitermes tibialis	Reticulitermes tibialis (98%)	-	-	2970	1911	36%
5IM1	5IM1		July 23 2008	Arizona	Sycamore	wood	-	Termitidae	Incisitermales minor	Gnathamitermes sp.  (98%)	-	-	3186	1744	45%
6GP1	6GP1		July 24 2008	Arizona	cow Dung on dirt	-	-	Termitidae	Gnathamitermes perplexus	Gnathamitermes sp.  (98%)	-	-	3341	2240	33%
6GP2	6GP2		July 24 2008	Arizona	drywood	wood	-	Termitidae	Gnathamitermes perplexus	Amitermes sp (98%)	-	-	7680	5146	33%
7GP1	7GP1		-	-	-	-	-	-	-	-	-	-	-	1954	-
7GP2	7GP2		-	-	-	-	-	-	-	-	-	-	-	5808	-
7GP3	7GP3		-	-	-	-	-	-	-	-	-	-	-	-	-
7TT2	7TT2		July 24 2008	Arizona	Under rock	-	-	-	Tenuirostristermes tenuirostris	Trinervitermes geminatus (90%)	-	-	9721	7827	19%
7TT3	7TT3		July 24 2008	Arizona	Under rock	-	-	-	Tenuirostristermes tenuirostris	Trinervitermes geminatus (90%)	-	-	3246	1944	40%
8AW2	8AW2		7/23/2008	Arizona	Cow Dung	-	-	Termitidae	Amitermes wheeleri	Amitermes sp (99%)	-	-	-	-	-
8MH1	8MH1		July 24 2008	Arizona	Cottonwood	wood	-	Termitidae	Marginitermes minor	Gnathamitermes sp.  (98%)	-	-	2220	957	57%
8RT1	8RT1		July 24 2008	Arizona	Harwood mesquite stick	wood	-	Rhinotermitidae	Reticulitermes tibialis	Reticulitermes tibialis (98%)	-	-	7971	5871	26%
